Fine_Mode_AOD,Coarse_Mode_AOD,FineModeFraction,Angstrom_Exponent(AE),AI,AT,CO_MF,HCHO_Amount,NO2_Column,Scattering_angle,SO2_Column,SSA,Aerosol_Type
0.247573,0.714677,0.257638,0.046911,1.25,297.203186,132.400611,3.78E+15,2.03E+15,147.560772,0.01,0.96,UN
0.191937,0.592357,0.245434,0.076761,1.41,299.0784,141.535519,5.42E+14,1.35E+15,152.073428,-0.02,0.94,DU
0.148843,0.554267,0.211106,0.128248,1.32,300.14212,145.454993,1.96E+15,2.04E+15,101.697066,0.06,0.95,UN
0.179571,0.606988,0.228706,0.214991,1.31,300.032562,141.829289,5.71E+15,2.99E+15,165.03153,0.37,0.93,DU
0.19057,0.289585,0.396209,0.381665,-0.05,304.467529,133.802315,3.68E+15,2.08E+15,146.46307,-0.05,0.94,DU
0.202606,0.344731,0.370117,0.241706,1.24,300.376038,138.108288,2.04E+15,1.89E+15,151.158463,0.22,0.92,DU
0.147663,0.249208,0.371027,0.382491,0.81,304.532471,131.574415,3.20E+15,1.86E+15,108.549998,0.07,0.93,DU
0.166673,0.24131,0.407142,0.500627,0.93,303.580505,141.84345,9.55E+13,3.38E+15,174.705195,0.24,0.93,MX
0.181475,0.262096,0.409592,0.513828,0.97,305.705811,139.810697,2.57E+15,2.60E+15,113.253711,0.11,0.92,MX
0.20034,0.504926,0.283332,0.192814,1.11,304.409943,116.289412,4.50E+15,2.72E+15,142.877717,0.42,0.95,UN
0.192719,0.540927,0.262299,0.13256,1.83,304.984772,124.359744,1.04E+15,3.21E+15,164.318873,0.19,0.91,DU
0.179353,0.484517,0.269439,0.194224,2.01,303.03363,121.146349,3.92E+15,2.66E+15,110.09159,0.3,0.93,DU
0.31506,1.166915,0.213473,0.116374,2.67,299.770142,136.7502,3.74E+15,3.27E+15,152.326541,0.01,0.93,DU
0.319137,1.131262,0.220071,0.070118,2.74,305.077637,122.255238,5.86E+15,3.63E+15,108.889962,0.1,0.95,UN
0.200966,0.736761,0.2144,0.129684,2.2,301.751617,122.381244,-1.42E+14,2.97E+15,173.330266,0.11,0.96,UN
0.114821,0.243513,0.319233,0.351399,0.47,300.748688,112.573001,4.68E+15,2.37E+15,142.647576,0.19,0.95,UN
0.114736,0.190906,0.372868,0.476633,0.75,305.078735,119.352449,5.64E+15,1.67E+15,163.971206,0.02,0.94,DU
0.105519,0.030686,0.792893,0.982097,-0.03,302.656372,111.495235,3.56E+15,2.66E+15,109.99659,0.13,0.92,SA
0.138523,0.075458,0.652626,0.932841,0.27,302.750214,112.838321,4.18E+15,2.82E+15,170.025719,0.27,0.95,SA
0.171341,0.386676,0.307676,0.435278,0.18,301.780487,118.400539,7.76E+15,3.49E+15,145.847611,0.07,0.95,UN
0.24272,0.554691,0.3041,0.427958,1.43,300.406128,110.19408,4.00E+15,2.62E+15,108.45498,0.15,0.95,UN
0.218437,0.278308,0.439933,0.720875,1.06,305.906372,119.519036,3.86E+15,2.42E+15,172.230002,0.16,0.96,MX
0.186366,0.222128,0.45595,0.751769,0.81,306.658783,121.828429,3.53E+15,2.61E+15,112.983517,0.23,0.95,MX
0.088359,0.179206,0.337291,0.51348,0.06,304.544556,114.510227,5.52E+15,2.11E+15,143.27512,0.17,0.95,UN
0.144284,0.106839,0.574369,0.986764,-0.19,304.092987,105.985273,4.04E+15,2.90E+15,109.164116,0.28,0.96,MX
